ZIP,COUNTYNAME,STATE,STCOUNTYFP,CLASSFP
36003,Autauga,AL,01001,H1
36006,Autauga,AL,01001,H1
36067,Autauga,AL,01001,H1
36066,Autauga,AL,01001,H1
36703,Autauga,AL,01001,H1
36701,Autauga,AL,01001,H1
36091,Autauga,AL,01001,H1
36051,Autauga,AL,01001,H1
36068,Autauga,AL,01001,H1
36008,Autauga,AL,01001,H1
36022,Autauga,AL,01001,H1
36749,Autauga,AL,01001,H1
36758,Autauga,AL,01001,H1
36550,Baldwin,AL,01003,H1
36551,Baldwin,AL,01003,H1
36527,Baldwin,AL,01003,H1
36577,Baldwin,AL,01003,H1
36559,Baldwin,AL,01003,H1
36536,Baldwin,AL,01003,H1
36576,Baldwin,AL,01003,H1
36579,Baldwin,AL,01003,H1
36502,Baldwin,AL,01003,H1
36578,Baldwin,AL,01003,H1
36533,Baldwin,AL,01003,H1
36564,Baldwin,AL,01003,H1
36561,Baldwin,AL,01003,H1
36580,Baldwin,AL,01003,H1
36535,Baldwin,AL,01003,H1
36547,Baldwin,AL,01003,H1
36549,Baldwin,AL,01003,H1
36530,Baldwin,AL,01003,H1
36562,Baldwin,AL,01003,H1
36532,Baldwin,AL,01003,H1
36526,Baldwin,AL,01003,H1
36555,Baldwin,AL,01003,H1
36511,Baldwin,AL,01003,H1
36567,Baldwin,AL,01003,H1
36574,Baldwin,AL,01003,H1
36480,Baldwin,AL,01003,H1
36507,Baldwin,AL,01003,H1
36542,Baldwin,AL,01003,H1
36017,Barbour,AL,01005,H1
36016,Barbour,AL,01005,H1
36311,Barbour,AL,01005,H1
36374,Barbour,AL,01005,H1
36048,Barbour,AL,01005,H1
36053,Barbour,AL,01005,H1
36317,Barbour,AL,01005,H1
36027,Barbour,AL,01005,H1
36072,Barbour,AL,01005,H1
35035,Bibb,AL,01007,H1
35034,Bibb,AL,01007,H1
36750,Bibb,AL,01007,H1
35115,Bibb,AL,01007,H1
35188,Bibb,AL,01007,H1
36793,Bibb,AL,01007,H1
35074,Bibb,AL,01007,H1
35042,Bibb,AL,01007,H1
35111,Bibb,AL,01007,H1
35184,Bibb,AL,01007,H1
36792,Bibb,AL,01007,H1
35456,Bibb,AL,01007,H1
35031,Blount,AL,01009,H1
35121,Blount,AL,01009,H1
35063,Blount,AL,01009,H1
35016,Blount,AL,01009,H1
35079,Blount,AL,01009,H1
35097,Blount,AL,01009,H1
35133,Blount,AL,01009,H1
35957,Blount,AL,01009,H1
35126,Blount,AL,01009,H1
35049,Blount,AL,01009,H1
35172,Blount,AL,01009,H1
35952,Blount,AL,01009,H1
35180,Blount,AL,01009,H1
35146,Blount,AL,01009,H1
35976,Blount,AL,01009,H1
35980,Blount,AL,01009,H1
35013,Blount,AL,01009,H1
36830,Bullock,AL,01011,H1
36031,Bullock,AL,01011,H1
36089,Bullock,AL,01011,H1
36029,Bullock,AL,01011,H1
36081,Bullock,AL,01011,H1
36860,Bullock,AL,01011,H1
36053,Bullock,AL,01011,H1
36005,Bullock,AL,01011,H1
36052,Bullock,AL,01011,H1
36037,Butler,AL,01013,H1
36033,Butler,AL,01013,H1
36032,Butler,AL,01013,H1
36456,Butler,AL,01013,H1
36474,Butler,AL,01013,H1
36030,Butler,AL,01013,H1
36042,Butler,AL,01013,H1
36071,Butler,AL,01013,H1
36015,Butler,AL,01013,H1
36206,Calhoun,AL,01015,H1
36204,Calhoun,AL,01015,H1
35096,Calhoun,AL,01015,H1
36279,Calhoun,AL,01015,H1
36205,Calhoun,AL,01015,H1
36260,Calhoun,AL,01015,H1
36271,Calhoun,AL,01015,H1
36272,Calhoun,AL,01015,H1
36201,Calhoun,AL,01015,H1
36203,Calhoun,AL,01015,H1
36207,Calhoun,AL,01015,H1
36265,Calhoun,AL,01015,H1
36202,Calhoun,AL,01015,H1
36257,Calhoun,AL,01015,H1
36253,Calhoun,AL,01015,H1
36254,Calhoun,AL,01015,H1
35905,Calhoun,AL,01015,H1
36250,Calhoun,AL,01015,H1
36277,Calhoun,AL,01015,H1
36852,Chambers,AL,01017,H1
36855,Chambers,AL,01017,H1
36879,Chambers,AL,01017,H1
36274,Chambers,AL,01017,H1
36862,Chambers,AL,01017,H1
36863,Chambers,AL,01017,H1
36801,Chambers,AL,01017,H1
36854,Chambers,AL,01017,H1
36276,Chambers,AL,01017,H1
36850,Chambers,AL,01017,H1
35973,Cherokee,AL,01019,H1
35959,Cherokee,AL,01019,H1
35901,Cherokee,AL,01019,H1
35984,Cherokee,AL,01019,H1
36272,Cherokee,AL,01019,H1
35967,Cherokee,AL,01019,H1
35961,Cherokee,AL,01019,H1
35903,Cherokee,AL,01019,H1
36275,Cherokee,AL,01019,H1
35960,Cherokee,AL,01019,H1
35983,Cherokee,AL,01019,H1
36006,Chilton,AL,01021,H1
35115,Chilton,AL,01021,H1
35040,Chilton,AL,01021,H1
36790,Chilton,AL,01021,H1
36758,Chilton,AL,01021,H1
36793,Chilton,AL,01021,H1
36750,Chilton,AL,01021,H1
36051,Chilton,AL,01021,H1
35046,Chilton,AL,01021,H1
35045,Chilton,AL,01021,H1
35171,Chilton,AL,01021,H1
36792,Chilton,AL,01021,H1
35085,Chilton,AL,01021,H1
36091,Chilton,AL,01021,H1
36908,Choctaw,AL,01023,H1
36913,Choctaw,AL,01023,H1
36919,Choctaw,AL,01023,H1
36921,Choctaw,AL,01023,H1
36904,Choctaw,AL,01023,H1
36912,Choctaw,AL,01023,H1
36910,Choctaw,AL,01023,H1
36916,Choctaw,AL,01023,H1
36922,Choctaw,AL,01023,H1
36558,Choctaw,AL,01023,H1
36915,Choctaw,AL,01023,H1
36436,Clarke,AL,01025,H1
36751,Clarke,AL,01025,H1
36446,Clarke,AL,01025,H1
36524,Clarke,AL,01025,H1
36784,Clarke,AL,01025,H1
36451,Clarke,AL,01025,H1
36540,Clarke,AL,01025,H1
36482,Clarke,AL,01025,H1
36727,Clarke,AL,01025,H1
36782,Clarke,AL,01025,H1
36545,Clarke,AL,01025,H1
36251,Clay,AL,01027,H1
36267,Clay,AL,01027,H1
35082,Clay,AL,01027,H1
35160,Clay,AL,01027,H1
35072,Clay,AL,01027,H1
35089,Clay,AL,01027,H1
36266,Clay,AL,01027,H1
36255,Clay,AL,01027,H1
36256,Clay,AL,01027,H1
36258,Clay,AL,01027,H1
36276,Clay,AL,01027,H1
36268,Clay,AL,01027,H1
36273,Cleburne,AL,01029,H1
36269,Cleburne,AL,01029,H1
36207,Cleburne,AL,01029,H1
36268,Cleburne,AL,01029,H1
36258,Cleburne,AL,01029,H1
36262,Cleburne,AL,01029,H1
36261,Cleburne,AL,01029,H1
36264,Cleburne,AL,01029,H1
36272,Cleburne,AL,01029,H1
36322,Coffee,AL,01031,H1
36453,Coffee,AL,01031,H1
36079,Coffee,AL,01031,H1
36351,Coffee,AL,01031,H1
36477,Coffee,AL,01031,H1
36346,Coffee,AL,01031,H1
36311,Coffee,AL,01031,H1
36010,Coffee,AL,01031,H1
36318,Coffee,AL,01031,H1
36034,Coffee,AL,01031,H1
36316,Coffee,AL,01031,H1
36009,Coffee,AL,01031,H1
